part_id,image_id,image_name,zip_relative_path,source_relative_path,split,family,numeric_id,extension,size_bytes,width,height,image_format
8,train_s_24322,train_s_24322.png,images/train_s_24322.png,train_s_24322.png,train,s,24322,.png,39105,1500,900,PNG
8,train_s_24323,train_s_24323.png,images/train_s_24323.png,train_s_24323.png,train,s,24323,.png,30188,1500,900,PNG
8,train_s_24324,train_s_24324.png,images/train_s_24324.png,train_s_24324.png,train,s,24324,.png,63678,1500,900,PNG
8,train_s_24325,train_s_24325.png,images/train_s_24325.png,train_s_24325.png,train,s,24325,.png,30831,1500,900,PNG
8,train_s_24326,train_s_24326.png,images/train_s_24326.png,train_s_24326.png,train,s,24326,.png,33239,1500,900,PNG
8,train_s_24327,train_s_24327.png,images/train_s_24327.png,train_s_24327.png,train,s,24327,.png,33701,1500,900,PNG
8,train_s_24328,train_s_24328.png,images/train_s_24328.png,train_s_24328.png,train,s,24328,.png,66884,1500,900,PNG
8,train_s_24329,train_s_24329.png,images/train_s_24329.png,train_s_24329.png,train,s,24329,.png,29840,1500,900,PNG
8,train_s_2433,train_s_2433.png,images/train_s_2433.png,train_s_2433.png,train,s,2433,.png,55919,1500,900,PNG
8,train_s_24330,train_s_24330.png,images/train_s_24330.png,train_s_24330.png,train,s,24330,.png,33956,1500,900,PNG
8,train_s_24331,train_s_24331.png,images/train_s_24331.png,train_s_24331.png,train,s,24331,.png,31848,1500,900,PNG
8,train_s_24332,train_s_24332.png,images/train_s_24332.png,train_s_24332.png,train,s,24332,.png,68650,1500,900,PNG
8,train_s_24333,train_s_24333.png,images/train_s_24333.png,train_s_24333.png,train,s,24333,.png,29989,1500,900,PNG
8,train_s_24334,train_s_24334.png,images/train_s_24334.png,train_s_24334.png,train,s,24334,.png,30983,1500,900,PNG
8,train_s_24335,train_s_24335.png,images/train_s_24335.png,train_s_24335.png,train,s,24335,.png,62293,1500,900,PNG
8,train_s_24336,train_s_24336.png,images/train_s_24336.png,train_s_24336.png,train,s,24336,.png,68320,1500,900,PNG
8,train_s_24337,train_s_24337.png,images/train_s_24337.png,train_s_24337.png,train,s,24337,.png,34399,1500,900,PNG
8,train_s_24338,train_s_24338.png,images/train_s_24338.png,train_s_24338.png,train,s,24338,.png,32579,1500,900,PNG
8,train_s_24339,train_s_24339.png,images/train_s_24339.png,train_s_24339.png,train,s,24339,.png,57189,1500,900,PNG
8,train_s_2434,train_s_2434.png,images/train_s_2434.png,train_s_2434.png,train,s,2434,.png,57795,1500,900,PNG
8,train_s_24340,train_s_24340.png,images/train_s_24340.png,train_s_24340.png,train,s,24340,.png,73981,1500,900,PNG
8,train_s_24341,train_s_24341.png,images/train_s_24341.png,train_s_24341.png,train,s,24341,.png,58056,1500,900,PNG
8,train_s_24342,train_s_24342.png,images/train_s_24342.png,train_s_24342.png,train,s,24342,.png,57914,1500,900,PNG
8,train_s_24343,train_s_24343.png,images/train_s_24343.png,train_s_24343.png,train,s,24343,.png,77035,1500,900,PNG
8,train_s_24344,train_s_24344.png,images/train_s_24344.png,train_s_24344.png,train,s,24344,.png,59433,1500,900,PNG
8,train_s_24345,train_s_24345.png,images/train_s_24345.png,train_s_24345.png,train,s,24345,.png,64520,1500,900,PNG
8,train_s_24346,train_s_24346.png,images/train_s_24346.png,train_s_24346.png,train,s,24346,.png,68613,1500,900,PNG
8,train_s_24347,train_s_24347.png,images/train_s_24347.png,train_s_24347.png,train,s,24347,.png,61745,1500,900,PNG
8,train_s_24348,train_s_24348.png,images/train_s_24348.png,train_s_24348.png,train,s,24348,.png,74288,1500,900,PNG
8,train_s_24349,train_s_24349.png,images/train_s_24349.png,train_s_24349.png,train,s,24349,.png,71049,1500,900,PNG
8,train_s_2435,train_s_2435.png,images/train_s_2435.png,train_s_2435.png,train,s,2435,.png,59332,1500,900,PNG
8,train_s_24350,train_s_24350.png,images/train_s_24350.png,train_s_24350.png,train,s,24350,.png,62361,1500,900,PNG
8,train_s_24351,train_s_24351.png,images/train_s_24351.png,train_s_24351.png,train,s,24351,.png,52007,1500,900,PNG
8,train_s_24352,train_s_24352.png,images/train_s_24352.png,train_s_24352.png,train,s,24352,.png,75228,1500,900,PNG
8,train_s_24353,train_s_24353.png,images/train_s_24353.png,train_s_24353.png,train,s,24353,.png,67963,1500,900,PNG
8,train_s_24354,train_s_24354.png,images/train_s_24354.png,train_s_24354.png,train,s,24354,.png,48519,1500,900,PNG
