part_id,image_id,image_name,zip_relative_path,source_relative_path,split,family,numeric_id,extension,size_bytes,width,height,image_format
4,train_k_25185,train_k_25185.png,images/train_k_25185.png,train_k_25185.png,train,k,25185,.png,63262,1500,900,PNG
4,train_k_25186,train_k_25186.png,images/train_k_25186.png,train_k_25186.png,train,k,25186,.png,35608,1500,900,PNG
4,train_k_25187,train_k_25187.png,images/train_k_25187.png,train_k_25187.png,train,k,25187,.png,58782,1500,900,PNG
4,train_k_25188,train_k_25188.png,images/train_k_25188.png,train_k_25188.png,train,k,25188,.png,68117,1500,900,PNG
4,train_k_25189,train_k_25189.png,images/train_k_25189.png,train_k_25189.png,train,k,25189,.png,62317,1500,900,PNG
4,train_k_2519,train_k_2519.png,images/train_k_2519.png,train_k_2519.png,train,k,2519,.png,67242,1500,900,PNG
4,train_k_25190,train_k_25190.png,images/train_k_25190.png,train_k_25190.png,train,k,25190,.png,60394,1500,900,PNG
4,train_k_25191,train_k_25191.png,images/train_k_25191.png,train_k_25191.png,train,k,25191,.png,88942,1500,900,PNG
4,train_k_25192,train_k_25192.png,images/train_k_25192.png,train_k_25192.png,train,k,25192,.png,64903,1500,900,PNG
4,train_k_25193,train_k_25193.png,images/train_k_25193.png,train_k_25193.png,train,k,25193,.png,55181,1500,900,PNG
4,train_k_25194,train_k_25194.png,images/train_k_25194.png,train_k_25194.png,train,k,25194,.png,56084,1500,900,PNG
4,train_k_25195,train_k_25195.png,images/train_k_25195.png,train_k_25195.png,train,k,25195,.png,49445,1500,900,PNG
4,train_k_25196,train_k_25196.png,images/train_k_25196.png,train_k_25196.png,train,k,25196,.png,52152,1500,900,PNG
4,train_k_25197,train_k_25197.png,images/train_k_25197.png,train_k_25197.png,train,k,25197,.png,50985,1500,900,PNG
4,train_k_25198,train_k_25198.png,images/train_k_25198.png,train_k_25198.png,train,k,25198,.png,59874,1500,900,PNG
4,train_k_25199,train_k_25199.png,images/train_k_25199.png,train_k_25199.png,train,k,25199,.png,63001,1500,900,PNG
